GeneralPetIssueID,IssueName
1,Fleas and ticks
2,Obesity
3,Dental health
4,Allergies
5,Arthritis
6,Heartworm
7,Diabetes
8,Parasites
9,Anxiety
10,Joint dysplasia
11,Ear infections
12,Respiratory infections
13,Bladder stones
14,Cancer
15,Hot spots
16,Heatstroke
17,Diarrhea
18,Vomiting
19,Seizures
20,Hip dysplasia
21,Kidney disease
22,Liver disease
23,Hyperthyroidism
24,Hypothyroidism
25,Inflammatory bowel disease (IBD)
26,Chronic renal failure
27,Ear mites
28,Periodontal disease
29,Anemia
30,Pyometra
31,Conjunctivitis
32,Ear hematoma
33,Pyoderma
34,Chronic bronchitis
35,Heart disease
36,Intestinal parasites
37,Lyme disease
38,Ringworm
39,Chronic cough
40,Oral tumors
41,Chronic kidney disease
42,Bladder infections
43,Heat exhaustion
44,Corneal ulcers
45,Anal gland problems
46,Immune-mediated diseases
47,Feline lower urinary tract disease (FLUTD)
48,Anal sac impaction
49,Hyperthyroidism
50,Hypothyroidism
51,Chronic obstructive pulmonary disease (COPD)
52,Canine distemper
53,Canine parvovirus
54,Tooth decay
55,Acute gastritis
56,Tracheal collapse
57,Diabetes insipidus
58,Cherry eye
59,Feline immunodeficiency virus (FIV)
60,Feline leukemia virus (FeLV)
